code;language;family
afr;Afrikaans;Indo-European
als;Alsatian;Indo-European
amh;Amharic;Afro-Asiatic
ara;Arabic;Afro-Asiatic
arg;Aragonese;Indo-European
arz;Egyptian_Arabic;Afro-Asiatic
asm;Assamese;Indo-European
ast;Asturian;Indo-European
aze;Azerbaijani;Turkic
azj;Northern_Azerbaijaini;Turkic
bak;Bashkir;Turkic
ban;Balinese;Austronesian
bar;Bavarian_German;Indo-European
bcl;Central_Bikol;Austronesian
bel;Belalrusian;Indo-European
ben;Bengali;Indo-European
bih;Bihari;Indo-European
bik;Bikol;Austronesian
bjn;Banjar;Austronesian
bos;Bosnian;Indo-European
bpy;Bishnupriya_Manipuri;Indo-European
bre;Breton;Indo-European
bua;Buriat;Mongolic
bul;Bulgarian;Indo-European
cat;Catalan;Indo-European
ceb;Cebuano;Austronesian
ces;Czech;Indo-European
che;Chechen;Nakh-Daghestanian
chv;Chuvash;Turkic
ckb;Central_Kurdish;Indo-European
cmn;Mandarin_Chinese;Sino-Tibetan
cos;Corsican;Indo-European
csb;Kashubian;Indo-European
cym;Welsh;Indo-European
dan;Danish;Indo-European
deu;German;Indo-European
diq;Dimli;Indo-European
div;Divehi;Indo-European
dsb;Lower_Sorbian;Indo-European
ekk;Standard_Estonian;Uralic
ell;Greek;Indo-European
eml;Emilian_Romagnol;Indo-European
eng;English;Indo-European
epo;Esperanto;Artificial_Language
est;Estonian;Uralic
eus;Basque;Isolate
ext;Extramaduran;Indo-European
fao;Faroese;Indo-European
fas;Persian;Indo-European
fin;Finnish;Uralic
fra;French;Indo-European
frr;Northern_Frisian;Indo-European
fry;Frisian;Indo-European
gle;Irish;Indo-European
glg;Galician;Indo-European
glk;Gilaki;Indo-European
glv;Manx;Indo-European
gom;Goan_Konkani;Indo-European
grn;Guarani;Tupian
gsw;Swiss_German;Indo-European
guj;Gujarati;Indo-European
hat;Haitian;Indo-European
hbs;Serbo-Croatian;Indo-European
heb;Hebrew;Afro-Asiatic
hif;Fiji_Hindi;Indo-European
hin;Hindi;Indo-European
hrv;Croatian;Indo-European
hsb;Upper_Sorbian;Indo-European
hun;Hungarian;Uralic
hye;Armenian;Indo-European
ido;Ido;Artificial_Language
ilo;Iloko;Austronesian
ina;Interlingua;Artificial_Language
ind;Indonesian;Austronesian
isl;Icelandic;Indo-European
ita;Italian;Indo-European
jav;Javanese;Austronesian
jpn;Japanese;Japonic
kal;Kalaallisut ;Eskimo-Aleut
kan;Kannada;Dravidian
kat;Georgian;Kartvelian
kaz;Kazakh;Turkic
kin;Kinyarwanda;Atlantic-Congo
kir;Kyrgyz;Turkic
knn;Konkani;Indo-European
koi;Kiowa;Tanoan
kom;Komi;Uralic
kor;Korean;Koreanic
krc;Karachay_Balkar;Turkic
ksh;Kölsch_German;Indo-European
kur;Kurdish;Indo-European
lat;Latin;Indo-European
lav;Latvian;Indo-European
lim;Limburgish;Indo-European
lit;Lithuanian;Indo-European
lmo;Lombard;Indo-European
ltz;Luxembourgish;Indo-European
lug;Ganda;Niger-Congo
lus;Lushai;Sino-Tibetan
lvs;Standard_Latvian;Indo-European
mad;Madurese;Austronesian
mal;Malayalam;Dravidian
mar;Marathi;Indo-European
mhr;Eastern_Mari;Uralic
min;Minangkabau;Austronesian
mkd;Macedonian;Indo-European
mlg;Malagasy;Austronesian
mlt;Maltese;Afro-Asiatic
mon;Mongolian;Mongolic
mri;Mãori;Austronesian
mrj;Western_Mari;Uralic
msa;Malay;Austronesian
mwl;Mirandese;Indo-European
mzn;Mazanderani;Indo-European
nan;Min_Nan_Chinese;Sino-Tibetan
nds;Low_German;Indo-European
nep;Nepali;Indo-European
new;Nepal_Bhasa;Sino-Tibetan
nld;Dutch;Indo-European
nno;Norwegian_Nynorsk;Indo-European
nob;Norwegian_Bokmål;Indo-European
nor;Norwegian;Indo-European
nso;Pedi;Atlantic-Congo
oci;Occitan;Indo-European
ori;Oriya;Indo-European
oss;Ossetian;Indo-European
pam;Pampanga;Austronesian
pan;Panjabi;Indo-European
pap;Papiamento;Indo-European
pes;Iranian_Persian;Indo-European
pfl;Pfaelzisch_German;Indo-European
plt;Plateau_Malagasy;Austronesian
pms;Piedmontese;Indo-European
pnb;Pahari-Potwari;Indo-European
pol;Polish;Indo-European
por;Portuguese;Indo-European
pus;Pashto;Indo-European
que;Quechua;Quechuan
roh;Romansh;Indo-European
ron;Romanian;Indo-European
rue;Rusyn;Indo-European
rus;Russian;Indo-European
sah;Yakut;Turkic
san;Sanskrit;Indo-European
scn;Sicilian;Indo-European
sco;Scots;Indo-European
sgs;Samogitian;Indo-European
sin;Sinhala;Indo-European
slk;Slovak;Indo-European
slv;Slovene;Indo-European
sme;Northern_Sami;Uralic
sna;Shona;Atlantic-Congo
snd;Sindhi;Indo-European
som;Somali;Afro-Asiatic
sot;Southern_Sotho;Atlantic-Congo
spa;Spanish;Indo-European
sqi;Albanian;Indo-European
srd;Sardinian;Indo-European
srp;Serbian;Indo-European
sun;Sundanese;Austronesian
swa;Swahili;Atlantic-Congo
swe;Swedish;Indo-European
swh;Kiswahili;Atlantic-Congo
szl;Silesian;Indo-European
tam;Tamil;Dravidian
tat;Tatar;Turkic
tel;Telugu;Dravidian
tgk;Tajik;Indo-European
tgl;Tagalog;Austronesian
tha;Thai;Tai-Kadai
tso;Tsonga;Atlantic-Congo
tuk;Turkmen;Turkic
tur;Turkish;Turkic
tyv;Tuvinian;Turkic
udm;Udmurt;Uralic
uig;Uyghur;Turkic
ukr;Ukrainian;Indo-European
urd;Urdu;Indo-European
uzb;Uzbek;Turkic
uzn;Northern_Uzbek;Turkic
vec;Venetian;Indo-European
vie;Vietnamese;Austroasiatic
vls;Vlaams;Indo-European
vol;Volapük;Artificial_Language
vro;Võro;Uralic
war;Waray;Austronesian
wln;Walloon;Indo-European
xho;Xhosa;Atlantic-Congo
xmf;Mingrelian;Kartvelian
yid;Yiddish;Indo-European
yor;Yoruba;Atlantic-Congo
zea;Zeeuws;Indo-European
zho;Chinese;Sino-Tibetan
zul;Zulu;Atlantic-Congo
